link;category;title
https://datastudio.google.com/reporting/6acd6032-4030-4486-861c-b1853f5ea503; Data Analysis; Superstore Analytics Dashboard
https://github.com/hanifabd/sentence-boundary-disambiguation-indonesia;Natural Language Processing;Sentence Boundary Disambiguation
https://github.com/hanifabd/shopee-payment-matching-rapidfuzz;Natural Language Processing;Shopee Payment Matching (rapidfuzz)
https://github.com/hanifabd/real-time-hand-gesture-recognition-with-tensorflow-js; Computer Vision;Hand Gesture Recognition (TensorflowJS)
https://github.com/hanifabd/fashion-mnist-classifier-with-tensorflow-js;Computer Vision;Fashion Mnist Classification (TensorflowJS)
https://github.com/hanifabd/cnn-hand-written-classifier-with-tensorflow-js;Computer Vision;Hand Writing Classification (TensorflowJS)
https://github.com/hanifabd/breast-cancer-classification-with-tensorflow-js;Computer Vision;Breast Cancer Classification (TensorflowJS)
https://github.com/hanifabd/iris-classifier-with-tensorflow-js;Computer Vision;Iris Classification (TensorflowJS)
https://github.com/hanifabd/Short-Term-Rain-Prediction;Machine Learning;Short-term Rain Prediction
https://github.com/hanifabd/HandGesture-Classification-Using-TensorFlow;Computer Vision;Hand Gesture Classification (Tensorflow)
https://github.com/hanifabd/Indonesian-Education-Facilities-Per-District-Using-Geopandas;Data Analysis; Indonesian Education Facilities (Geopandas)
https://github.com/hanifabd/Indonesia-Covid-19-Visualization-Using-Geopandas;Data Analysis;Covid-19 in Indonesia (Geopandas)
https://github.com/hanifabd/ID-Visualize-Tweet-Word-Frequency-using-WordCloud; Natural Language Processing;Tweet Visualization (WordCloud)
https://github.com/hanifabd/Tweet-Sentiment-Analysis;Natural Language Processing;Tweet Sentiment (Pos/Neg Words)
